id,source,target,node_type,metric_type,entity_type,entity_code,tons,usd,edge_count
481,1014,1051,ss,tons,c,16,11227600,NULL,23
482,1014,1017,ss,tons,c,16,1238260,NULL,23
483,1017,1006,ss,tons,c,16,13106000,NULL,23
484,1017,1051,ss,tons,c,16,8428860,NULL,23
485,1006,1051,ss,tons,c,16,12778900,NULL,23
486,1044,1019,ss,tons,c,17,49996600,NULL,12
487,1044,1014,ss,tons,c,17,13138400,NULL,12
488,1044,1037,ss,tons,c,17,65960600,NULL,12
489,1019,1014,ss,tons,c,17,4455130,NULL,12
490,1019,1025,ss,tons,c,17,30537900,NULL,12
491,1014,1015,ss,tons,c,17,102691000,NULL,12
492,1014,1016,ss,tons,c,17,6673100,NULL,12
493,1014,1039,ss,tons,c,17,114568,NULL,12
494,1014,1022,ss,tons,c,17,818834,NULL,12
495,1015,1016,ss,tons,c,17,7281820,NULL,12
496,1015,1039,ss,tons,c,17,2106600,NULL,12
